code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
AAX,SBAX,Araxa Airport,-19.563132000000003,-46.96040575380038,3267,,America/Sao_Paulo,AAX,BR,Araxa,Minas Gerais,Araxa,AP
AFL,SBAT,Alta Floresta Airport,-9.866163,-56.10603812089458,790,,America/Cuiaba,AFL,BR,,,,AP
AIR,SSOU,Aripuana,-10.25,-59.38333,1095,,America/Cuiaba,AIR,BR,,,,AP
AJU,SBAR,Aracaju Airport,-10.98281225,-37.07602527743482,42,https://www4.infraero.gov.br/aeroportos/aeroporto-internacional-santa-maria-aracaju/,America/Maceio,AJU,BR,Aracaju,Sergipe,Aracaju,AP
AQA,SBAQ,Araraquara,-21.816668,-48.13333,2322,http://www.daesp.sp.gov.br/aeroporto-estadual-de-araraquara-bartolomeu-de-gusmao/,America/Sao_Paulo,AQA,BR,Araraquara,Sao Paulo,Araraquara,AP
ARU,SBAU,Aracatuba Airport,-21.140815,-50.425139094792286,1341,http://www.daesp.sp.gov.br/aeroporto-estadual-de-aracatuba-dario-guarita/,America/Sao_Paulo,ARU,BR,Aracatuba,Sao Paulo,Aracatuba,AP
ASU,SGAS,Silvio Pettirossi International Airport,-25.2355931,-57.51563884189728,232,,America/Asuncion,ASU,PY,Limpio,Central,,AP
ATM,SBHT,Altamira Airport,-3.2,-52.216667,321,,America/Santarem,ATM,BR,Altamira,Para,Altamira,AP
BAT,SNBA,Airport Chafei Amsei,-20.55,-48.55,1732,,America/Sao_Paulo,BAT,BR,Barretos,Sao Paulo,Barretos,AP
BEL,SBBE,Val De Cans International Airport,-1.3798578,-48.47964610194296,19,http://www.infraero.gov.br/index.php/br/aeroportos/para/aeroporto-internacional-de-belem.html,America/Belem,BEL,BR,Belem,Para,Belem,AP
BPG,SBBW,Barra Do Garcas,-15.8606725,-52.39006674230171,1141,,America/Cuiaba,BPG,BR,Barra do Garcas,Mato Grosso,Barra Do Garcas,AP
BPS,SBPS,Porto Seguro Airport,-16.4389835,-39.08336724314525,134,,America/Bahia,BPS,BR,Porto Seguro,Bahia,Porto Seguro,AP
BRA,SNBR,Barreiras Airport,-12.0794806,-45.00970535335743,2440,,America/Bahia,BRA,BR,Barreiras,Bahia,Barreiras,AP
BRC,SAZS,San Carlos de Bariloche International Airport,-41.145966,-71.16109,2788,http://www.aa2000.com.ar/bariloche,America/Argentina/Salta,BRC,AR,San Carlos de Bariloche,Rio Negro,Departamento de Bariloche,AP
BSB,SBBR,Brasilia International Airport,-15.87174755,-47.91172169662855,3471,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=146,America/Sao_Paulo,BSB,BR,Brasilia,Federal District,Brasilia,AP
BVB,SBBV,Boa Vista Airport,2.833333,-60.666668,242,,America/Boa_Vista,BVB,BR,Boa Vista,Roraima,Boa Vista,AP
BVH,SBVH,Vilhena Airport,-12.6940825,-60.09875397255124,1922,,America/Porto_Velho,BVH,BR,,,,AP
BVS,SNVS,Breves,-1.6351127,-50.44221729198899,68,,America/Belem,BVS,BR,Breves,Para,Breves,AP
BYO,SBDB,Bonito Airport,-21.24942965,-56.45190863172819,1122,,America/Campo_Grande,BYO,BR,Bonito,Mato Grosso do Sul,Bonito,AP
CAC,SBCA,Cascavel Airport,-24.95,-53.466667,2417,,America/Sao_Paulo,CAC,BR,Cascavel,Parana,Cascavel,AP
CAU,SNRU,Caruaru,-8.25,-35.916668,1932,,America/Recife,CAU,BR,Caruaru,Pernambuco,Caruaru,AP
CGB,SBCY,Marechal Rondon International Airport,-15.651725,-56.120266,629,http://www.infraero.gov.br/index.php/aeroportos/mato-grosso/aeroporto-internacional-marechal-rondon,America/Cuiaba,CGB,BR,Varzea Grande,Mato Grosso,Varzea Grande,AP
CGH,SBSP,Sao Paulo/Congonhas Airport,-23.626902,-46.659557,2627,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=219,America/Sao_Paulo,SAO,BR,Diadema,Sao Paulo,Diadema,AP
CGR,SBCG,Campo Grande International Airport,-20.47157685,-54.68224625125994,1788,,America/Campo_Grande,CGR,BR,Campo Grande,Mato Grosso do Sul,Campo Grande,AP
CIZ,SWKO,Coari,-4.083333,-63.13333,95,,America/Manaus,CIZ,BR,Coari,Amazonas,Coari,AP
CJZ,SJZA,Cajazeiras Airport,-6.882778,-38.615833,1099,,America/Fortaleza,CJZ,BR,Cajazeiras,,,AP
CKS,SBCJ,Carajas Airport,-6.11655575,-49.99774268663904,2063,http://www.infraero.gov.br/index.php/us/airports/para/carajas-airport.html,America/Belem,CKS,BR,,,,AP
CLV,SBCN,Caldas Novas,-17.7247899,-48.6081742294032,2276,,America/Sao_Paulo,CLV,BR,Caldas Novas,Goias,Caldas Novas,AP
CMG,SBCR,Corumba Internacional Airport,-19.0125785,-57.66975905679873,485,,America/Campo_Grande,CMG,BR,,,,AP
CNF,SBCF,Tancredo Neves International Airport,-19.63339785,-43.96836942393943,2713,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=207,America/Sao_Paulo,BHZ,BR,Lagoa Santa,Minas Gerais,Lagoa Santa,AP
CPV,SBKG,Joao Suassuna Airport,-7.27016065,-35.89609699581786,1561,,America/Fortaleza,CPV,BR,Campina Grande,Paraiba,Campina Grande,AP
CUR,TNCC,Curacao International Airport,12.1890286,-68.96216089958281,13,,America/Curacao,CUR,CW,Sint Michiel Liber,,,AP
CWB,SBCT,Afonso Pena International Airport,-25.5322,-49.176544,2956,,America/Sao_Paulo,CWB,BR,Sao Jose dos Pinhais,Parana,Sao Jose Dos Pinhais,AP
CXJ,SBCX,Hugo Cantergiani Regional Airport,-29.19705975,-51.1861647969846,2424,,America/Sao_Paulo,CXJ,BR,Caxias do Sul,Rio Grande do Sul,Caxias Do Sul,AP
DIQ,SNDV,Divinopolis,-20.18147045,-44.87004451735432,2562,,America/Sao_Paulo,DIQ,BR,Divinopolis,Minas Gerais,Divinopolis,AP
ERN,SWEI,Eirunepe,-6.583333,-69.88333,416,,America/Eirunepe,ERN,BR,Eirunepe,Amazonas,Eirunepe,AP
FEN,SBFN,Fernando De Noronha Airport,-3.8546858,-32.4227495764598,150,,America/Noronha,FEN,BR,Fernando de Noronha (Distrito Estadual),Pernambuco,Fernando De Noronha,AP
FLL,KFLL,Fort Lauderdale-Hollywood International Airport,26.072017,-80.15099673135214,45,http://www.broward.org/airport,America/New_York,FLL,US,,,,AP
FLN,SBFL,Hercilio Luz International Airport,-27.67011345,-48.54468648648172,19,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=228,America/Sao_Paulo,FLN,BR,Carianos,Santa Catarina,Florianopolis,AP
FOR,SBFZ,Pinto Martins Airport,-3.779073,-38.540836,141,,America/Fortaleza,FOR,BR,Fortaleza,Ceara,Fortaleza,AP
FRC,SIMK,Franca,-20.551945,-47.4375,3303,http://www.daesp.sp.gov.br/aeroporto-detalhe/?id=859,America/Sao_Paulo,FRC,BR,Franca,Sao Paulo,Franca,AP
GEL,SBNM,Sepe Tiaraju,-28.28341965,-54.16561195879408,1013,,America/Sao_Paulo,GEL,BR,Santo Angelo,Rio Grande do Sul,Santo Angelo,AP
GGJ,SSGY,Guaíra Airport,-24.08087945,-54.19114629441818,862,,America/Sao_Paulo,GGJ,BR,Salto del Guaira,Canindeyu,,AP
GIG,SBGL,Galeao Antonio Carlos Jobim International Airport,-22.81122025,-43.258620204081936,32,,America/Sao_Paulo,RIO,BR,Duque de Caxias,Rio de Janeiro,Duque De Caxias,AP
