,AEP,GRU,CGH,POA,AJU,SSA,ARU,VCP,ASU,AUA,BEL,FOR,BOG,BPS,BRC,BSB,BVB,CGB,CKS,CLV,CZS,GYN,MAB,MAO,OPS,PMW,PVH,RBR,STM,CNF,GIG,SDU,CWB,REC,AFL,AIR,ATM,BPG,BRA,BVH,CIZ,CMG,ERN,IRZ,ITB,JPR,LBR,MBZ,MNX,OAL,OIA,PIN,PYT,RBB,ROO,SJL,TBT,TFF,TMT,UDI,BYO,CAC,JOI,NVT,COR,EZE,MDZ,MVD,ROS,CGR,MOC,AAX,DIQ,GVR,IAL,IPN,POJ,TFL,VIX,FLL,LIS,MAD,MCO,ORY,CPV,CUN,FLN,GGJ,GPB,IGU,LDB,MGF,PMG,PPB,PTO,TEC,UMU,UVI,CXJ,FEN,JDO,JJD,MCP,SLZ,THE,MIA,BVS,CJZ,IMP,JAW,JPE,MEU,OPP,PTQ,TUR,GEL,IZA,RRJ,SJK,PUJ,VVI,VAG,IOS,JPA,MCZ,NAT,PET,PFB,PNZ,XAP,RIA,URG,PDP,RAO,CAU,JPO,QGP,SJP,GNM,LEC,UNA,VDC,AQA,BAT,FRC,JTC,MII,UBA,CUR,JMA,LHN,SET,SMT
AEP,0.0,1693.102741469409,1665.3122892559584,849.0974564480002,3399.3522495475327,3144.940351135091,2120.0420814044373,1723.2272237978798,1668.13450691262,6439.041519944703,5173.967624578394,4038.248183304133,6028.781385805385,3545.4037289494263,3033.107045550085,2454.290952480594,4962.904744420153,3333.0041866568736,3562.5964313941386,2673.2701549855533,5311.3158721133095,2618.1839658416156,3630.402209064666,4403.744715097714,3393.6237919799305,3082.145977833483,4363.842909339604,4705.994475628363,4129.003437492433,2189.258706740088,2024.4775927933294,2031.1343038857874,1458.4367426456129,3794.716938387295,3565.1834577321215,3844.64249700872,3939.9696147108034,2933.2813853965004,2979.482450869321,3813.902543616803,4572.25575989356,3546.5061322826077,5060.536531485361,4999.865240609552,4015.8108526710066,4060.372072623885,4531.729986476437,4210.659993351615,4291.664301268439,4000.868074985156,3523.047073949593,4213.805658974723,2642.0716399105168,4259.107677868892,3183.737205319653,5181.467346588875,5186.325414608555,4758.7652835901445,4219.048044013274,2792.7417852442672,2340.239451467982,1454.175453708474,1544.2474239791954,1617.1009048600222,2104.8952149480137,1724.6652362848245,2549.47647217768,1553.6682120862984,1817.3906269532097,2254.5901989966205,2515.2381466516254,2502.777240760372,2301.5121648211198,2419.9644899771047,2608.0394642192,2340.342166471486,2475.0330487571027,2516.173279287692,2580.806584572578,8235.058879074251,9629.225007635121,10072.371726932475,8512.850605863765,11067.964566964667,3938.08322558049,8296.101138920032,1212.5525466682304,1989.6413815608817,1692.7983173976568,1437.6237444000658,1773.808697006145,1825.7533480457782,2199.0898739800705,1904.6552500517387,1818.5025259955337,1659.3487117474651,1918.7379238842007,1663.1008212125546,937.8725981892891,4344.206459438177,4428.2074291183235,4262.016236837484,5494.162126394361,4684.601376908483,4533.9333910199875,8266.325613786423,5381.387761936205,4383.464277905949,5045.475365612964,4515.662447924937,5015.970394636105,5633.004747325067,5073.906643706061,5576.105830435477,5280.169940131595,1196.954023276573,2169.0955245678438,2047.1288725605878,1739.8706523174196,6933.3754793779035,3540.9442167336206,1929.013128648257,3369.4381878377635,3903.3687734285404,3976.601119855389,4042.9794716492106,1070.2126885670316,1074.0855137855042,3601.317154022885,1202.4452824247203,1094.1763514784934,1415.5171355514549,1499.4258137613972,1941.128503786063,3904.9824304794056,4078.522576382422,3982.387508906164,2060.7148646472865,3649.8753070929915,3468.098091853337,3425.7431866676734,3493.6936872936603,1890.1956420952495,2032.616436219355,1997.8139595934,1943.023146618581,2023.4676742936444,2092.1615413133604,6301.375065307401,9546.859577524847,20556.568812930433,7715.321331535582,20518.2625244171
POA,849.0974564480002,864.7958350129232,837.3797350893506,0.0,2571.084882258187,2316.6729838457454,1270.944624956437,874.1297673498796,819.0370504646199,5610.734613488217,4339.394888833053,3203.675447558793,5200.474479348899,2717.136361660081,2184.0095891020846,1605.1934960325939,4113.807287972153,2483.9067302088733,2713.4989749461383,1824.172698537553,4462.218415665309,1769.0865093936154,2781.3047526166656,3554.647258649714,2544.5263355319303,2233.0485213854827,3514.745452891604,3856.897019180363,3279.905981044433,1361.2454880223102,1196.5450386267216,1203.2017497191796,609.3392861976128,2966.4479660412176,2716.0860012841213,2995.54504056072,3090.872158262803,2084.1839289485,2130.3849944213207,2964.805087168803,3723.15830344556,2697.4086758346075,4211.43907503736,4150.767784161551,3166.7133962230064,3211.2746161758846,3682.6325300284375,3361.562536903615,3442.5668448204387,3151.7706185371558,2673.949617501593,3364.7082025267227,1792.9741834625165,3410.010221420892,2334.639748871653,4332.369890140875,4337.227958160554,3909.6678271421442,3369.9505875652744,1943.644328796267,1491.1419950199813,605.0779972604737,695.1499675311952,768.0034484120221,1255.7977585000137,875.5677798368242,1700.3790157296798,704.5707556382981,968.2931705052094,1405.49274254862,1687.224927933847,1674.7640220425938,1473.4989461033417,1591.9512712593264,1780.0262455014217,1512.3289477537078,1647.0198300393247,1688.1600605699134,1752.7933658547995,7385.961422626251,8801.211788917342,9244.358508214696,7663.753149415765,10239.951348246888,3109.8142532344127,7467.794232463545,363.4550902202302,1140.5439251128814,843.7008609496567,588.5262879520656,924.7112405581447,976.655891597778,1349.9924175320702,1055.5577936037384,969.4050695475336,810.2512552994649,1069.6404674362004,814.0033647645544,88.77514174128886,3515.9374870921,3593.6346933729837,3427.4435010921434,4659.58939064902,3850.028641163143,3699.360655274647,7438.018707329936,4546.815026190864,3548.891542160608,4210.902629867624,3681.089712179597,4181.397658890765,4798.432011579726,4239.33390796072,4741.533094690137,4445.597204386255,347.85656682857285,1341.1629704012362,1219.19631839398,911.563745860934,6105.068572921417,2712.637310277135,1100.706222191771,2541.170820548418,3075.099801082463,3148.3321475093117,3214.710499303133,221.11523211903145,224.98805733750396,2773.04978673354,353.3478259767201,245.07889503049321,566.4196791034547,650.328357313397,1092.0310473380628,3076.713458133328,3250.2536040363443,3154.1185365600863,1211.6174081992863,2821.607939803646,2639.8307245639917,2597.475819378328,2665.4263200043147,1041.0981856472492,1183.5189797713547,1148.7165031453999,1093.9256901705808,1174.3702178456442,1243.0640848653602,5452.277608859401,8697.762121076847,19707.471356482434,6866.223875087582,19669.165067969097
CXJ,937.8725981892891,953.5709767542121,926.1548768306394,88.77514174128886,2659.8600239994757,2405.448125587034,1359.719766697726,962.9049090911684,907.8121922059088,5699.5097552295065,4428.1700305743425,3292.450589300082,5289.249621090188,2805.91150340137,2272.7847308433734,1693.9686377738828,4202.582429713442,2572.681871950162,2802.274116687427,1912.947840278842,4550.9935574065985,1857.8616511349044,2870.0798943579543,3643.4224003910026,2633.301477273219,2321.8236631267714,3603.520594632893,3945.6721609216515,3368.6811227857215,1450.0206297635991,1285.3201803680106,1291.9768914604686,698.1144279389016,3055.2231077825063,2804.86114302541,3084.3201823020086,3179.647300004092,2172.959070689789,2219.1601361626094,3053.5802289100916,3811.9334451868485,2786.1838175758962,4300.21421677865,4239.542925902841,3255.488537964295,3300.0497579171733,3771.407671769726,3450.337678644904,3531.3419865617275,3240.5457602784445,2762.7247592428816,3453.4833442680115,1881.7493252038055,3498.7853631621806,2423.4148906129417,4421.145031882164,4426.003099901844,3998.442968883433,3458.725729306563,2032.419470537556,1579.9171367612703,693.8531390017625,783.9251092724841,856.7785901533109,1344.5729002413027,964.3429215781131,1789.1541574709688,793.345897379587,1057.0683122464984,1494.267884289909,1776.000069675136,1763.5391637838827,1562.2740878446307,1680.7264130006154,1868.8013872427107,1601.1040894949967,1735.7949717806137,1776.9352023112024,1841.5685075960885,7474.73656436754,8889.986930658632,9333.133649955986,7752.528291157054,10328.726489988177,3198.5893949757015,7556.569374204834,452.23023196151905,1229.3190668541704,932.4760026909455,677.3014296933544,1013.4863822994336,1065.431033339067,1438.7675592733592,1144.3329353450274,1058.1802112888224,899.0263970407537,1158.4156091774894,902.7785065058432,0.0,3604.712628833389,3682.4098351142725,3516.218642833432,4748.364532390309,3938.803782904432,3788.1357970159356,7526.793849071225,4635.590167932153,3637.6666839018967,4299.677771608913,3769.8648539208857,4270.1728006320545,4887.2071533210155,4328.1090497020095,4830.308236431426,4534.372346127544,436.6317085698617,1429.9381121425251,1307.971460135269,1000.3388876022228,6193.843714662707,2801.4124520184237,1189.48136393306,2629.9459622897066,3163.8749428237516,3237.1072892506004,3303.4856410444218,309.8903738603203,313.7631990787928,2861.8249284748285,442.12296771800897,333.8540367717821,655.1948208447435,739.1034990546858,1180.8061890793517,3165.4885998746167,3339.028745777633,3242.893678301375,1300.3925499405752,2910.3830815449346,2728.6058663052804,2686.250961119617,2754.2014617456034,1129.8733273885382,1272.2941215126436,1237.4916448866888,1182.7008319118697,1263.1453595869332,1331.8392266066492,5541.05275060069,8786.537262818136,19796.24649822372,6954.999016828871,19757.940209710385
PET,1070.2126885670316,1085.9110671319547,1058.494967208382,221.11523211903145,2792.2001143772186,2537.788215964777,1492.0598570754685,1095.244999468911,1040.1522825836514,5831.849845607248,4560.510120952084,3424.7906796778248,5421.58971146793,2938.2515937791127,2405.1248212211162,1826.3087281516252,4334.922520091184,2705.021962327905,2934.61420706517,2045.2879306565844,4683.33364778434,1990.2017415126468,3002.419984735697,3775.7624907687455,2765.641567650962,2454.1637535045143,3735.8606850106357,4078.0122512993944,3501.0212131634644,1582.3607201413415,1417.660270745753,1424.316981838211,830.4545183166442,3187.563198160249,2937.201233403153,3216.6602726797514,3311.9873903818348,2305.2991610675317,2351.5002265403523,3185.9203192878344,3944.2735355645914,2918.523907953639,4432.554307156392,4371.8830162805825,3387.828628342038,3432.389848294916,3903.747762147469,3582.6777690226468,3663.6820769394703,3372.8858506561874,2895.0648496206245,3585.8234346457543,2014.0894155815479,3631.1254535399235,2555.7549809906845,4553.485122259906,4558.3431902795855,4130.783059261175,3591.065819684306,2164.7595609152986,1712.2572271390127,826.1932293795052,916.2651996502267,989.1186805310535,1476.912990619045,1096.6830119558556,1921.4942478487112,925.6859877573296,1189.4084026242408,1626.6079746676514,1908.3401600528784,1895.879254161625,1694.614178222373,1813.0665033783578,2001.141477620453,1733.4441798727391,1868.135062158356,1909.2752926889448,1973.9085979738309,7607.076654745282,9022.327021036373,9465.473740333728,7884.868381534796,10461.06658036592,3330.9294853534443,7688.909464582576,584.5703223392617,1361.6591572319128,1064.8160930686881,809.641520071097,1145.826472677176,1197.7711237168094,1571.1076496511016,1276.6730257227698,1190.520301666565,1031.3664874184963,1290.7556995552318,1035.1185968835857,309.8903738603203,3737.0527192111317,3814.7499254920153,3648.558733211175,4880.704622768051,4071.143873282175,3920.4758873936785,7659.133939448967,4767.930258309895,3770.0067742796396,4432.017861986655,3902.2049442986286,4402.5128910097965,5019.5472436987575,4460.4491400797515,4962.648326809168,4666.712436505286,568.9717989476043,1562.2782025202675,1440.3115505130113,1132.6789779799653,6326.1838050404485,2933.7525423961665,1321.8214543108024,2762.2860526674494,3296.2150332014944,3369.4473796283432,3435.8257314221646,0.0,446.10328945653544,2994.1650188525714,574.4630580957515,466.19412714952466,787.5349112224861,871.4435894324284,1313.1462794570941,3297.8286902523596,3471.368836155376,3375.233768679118,1432.7326403183176,3042.7231719226775,2860.9459566830233,2818.59105149736,2886.5415521233463,1262.2134177662806,1404.634211890386,1369.8317352644312,1315.0409222896121,1395.4854499646756,1464.1793169843916,5673.392840978432,8918.877353195878,19928.586588601465,7087.339107206613,19890.28030008813
PFB,1074.0855137855042,1089.7838923504273,1062.3677924268545,224.98805733750396,2796.072939595691,2541.6610411832494,1495.932682293941,1099.1178246873835,1044.0251078021238,5835.722670825721,4564.382946170557,3428.663504896297,5425.462536686403,2942.124418997585,2408.9976464395886,1830.1815533700978,4338.795345309657,2708.8947875463773,2938.4870322836423,2049.160755875057,4687.206473002813,1994.0745667311194,3006.2928099541696,3779.635315987218,2769.5143928694342,2458.0365787229866,3739.733510229108,4081.8850765178668,3504.8940383819368,1586.2335453598141,1421.5330959642256,1428.1898070566835,834.3273435351167,3191.4360233787215,2941.074058621625,3220.533097898224,3315.860215600307,2309.171986286004,2355.3730517588247,3189.793144506307,3948.1463607830638,2922.3967331721115,4436.427132374864,4375.755841499055,3391.7014535605103,3436.2626735133886,3907.6205873659414,3586.550594241119,3667.5549021579427,3376.7586758746597,2898.937674839097,3589.6962598642267,2017.9622408000205,3634.998278758396,2559.627806209157,4557.357947478379,4562.216015498058,4134.655884479648,3594.9386449027784,2168.632386133771,1716.1300523574853,830.0660545979777,920.1380248686992,992.991505749526,1480.7858158375177,1100.5558371743282,1925.3670730671838,929.5588129758021,1193.2812278427134,1630.480799886124,1912.212985271351,1899.7520793800977,1698.4870034408457,1816.9393285968304,2005.0143028389257,1737.3170050912117,1872.0078873768286,1913.1481179074174,1977.7814231923035,7610.949479963755,9026.199846254847,9469.346565552201,7888.741206753269,10464.939405584391,3334.8023105719167,7692.782289801049,588.4431475577342,1365.5319824503854,1068.6889182871605,813.5143452895695,1149.6992978956487,1201.643948935282,1574.9804748695742,1280.5458509412424,1194.3931268850374,1035.2393126369689,1294.6285247737044,1038.9914221020583,313.7631990787928,3740.925544429604,3818.6227507104877,3652.4315584296473,4884.577447986524,4075.016698500647,3924.348712612151,7663.00676466744,4771.803083528368,3773.879599498112,4435.8906872051275,3906.077769517101,4406.385716228269,5023.42006891723,4464.321965298224,4966.521152027641,4670.585261723759,572.8446241660768,1566.1510277387401,1444.184375731484,1136.551803198438,6330.056630258921,2937.625367614639,1325.694279529275,2766.158877885922,3300.087858419967,3373.3202048468156,3439.698556640637,446.10328945653544,0.0,2998.0378440710438,578.335883314224,470.06695236799715,791.4077364409586,875.3164146509009,1317.0191046755667,3301.701515470832,3475.2416613738483,3379.1065938975903,1436.6054655367902,3046.59599714115,2864.8187819014956,2822.463876715832,2890.4143773418186,1266.0862429847532,1408.5070371088586,1373.7045604829038,1318.9137475080847,1399.3582751831482,1468.0521422028642,5677.265666196905,8922.75017841435,19932.45941381994,7091.211932425086,19894.153125306602
RIA,1094.1763514784934,1109.8747300434165,1082.4586301198437,245.07889503049321,2816.16377728868,2561.7518788762386,1516.0235199869303,1119.2086623803727,1064.1159454951132,5855.8135085187105,4584.4737838635465,3448.7543425892864,5445.553374379392,2962.2152566905743,2429.088484132578,1850.272391063087,4358.886183002646,2728.9856252393665,2958.5778699766315,2069.2515935680462,4707.2973106958025,2014.1654044241086,3026.383647647159,3799.726153680207,2789.6052305624235,2478.127416415976,3759.8243479220973,4101.975914210856,3524.984876074926,1606.3243830528033,1441.6239336572148,1448.2806447496728,854.4181812281059,3211.5268610717108,2961.1648963146145,3240.623935591213,3335.9510532932964,2329.2628239789933,2375.463889451814,3209.883982199296,3968.237198476053,2942.4875708651007,4456.517970067854,4395.846679192045,3411.7922912534996,3456.353511206378,3927.7114250589307,3606.6414319341084,3687.645739850932,3396.849513567649,2919.028512532086,3609.787097557216,2038.0530784930097,3655.089116451385,2579.718643902146,4577.448785171368,4582.306853191048,4154.746722172637,3615.0294825957676,2188.72322382676,1736.2208900504745,850.1568922909669,940.2288625616884,1013.0823434425153,1500.876653530507,1120.6466748673174,1945.457910760173,949.6496506687913,1213.3720655357026,1650.5716375791133,1932.3038229643403,1919.842917073087,1718.577841133835,1837.0301662898196,2025.105140531915,1757.407842784201,1892.0987250698179,1933.2389556004066,1997.8722608852927,7631.040317656744,9046.290683947836,9489.43740324519,7908.832044446258,10485.030243277382,3354.893148264906,7712.873127494038,608.5339852507234,1385.6228201433746,1088.77975598015,833.6051829825587,1169.790135588638,1221.7347866282712,1595.0713125625634,1300.6366886342316,1214.4839645780269,1055.330150329958,1314.7193624666936,1059.0822597950475,333.8540367717821,3761.0163821225933,3838.713588403477,3672.5223961226366,4904.668285679513,4095.1075361936364,3944.43955030514,7683.097602360429,4791.893921221357,3793.970437191101,4455.981524898117,3926.16860721009,4426.4765539212585,5043.5109066102195,4484.4128029912135,4986.61198972063,4690.676099416748,592.9354618590661,1586.2418654317294,1464.2752134244731,1156.6426408914272,6350.147467951911,2957.716205307628,1345.7851172222643,2786.249715578911,3320.178696112956,3393.411042539805,3459.789394333626,466.19412714952466,470.06695236799715,3018.128681764033,598.4267210072134,0.0,811.4985741339478,895.4072523438901,1337.109942368556,3321.792353163821,3495.3324990668375,3399.1974315905795,1456.6963032297795,3066.686834834139,2884.909619594485,2842.5547144088214,2910.505215034808,1286.1770806777424,1428.5978748018479,1393.795398175893,1339.004585201074,1419.4491128761374,1488.1429798958534,5697.356503889894,8942.84101610734,19952.550251512926,7111.302770118075,19914.24396299959
GEL,1196.954023276573,1212.6524018414962,1185.2363019179234,347.85656682857285,2918.94144908676,2664.529550674318,1618.80119178501,1221.9863341784524,1166.8936172931928,5958.59118031679,4687.251455661626,3551.532014387366,5548.331046177472,3064.992928488654,2531.8661559306574,1953.0500628611667,4461.663854800726,2831.763297037446,3061.355541774711,2172.029265366126,4810.074982493882,2116.943076222188,3129.1613194452384,3902.5038254782867,2892.382902360503,2580.9050882140555,3862.602019720177,4204.753586008936,3627.7625478730056,1709.102054850883,1544.4016054552944,1551.0583165477524,957.1958530261857,3314.3045328697904,3063.942568112694,3343.4016073892926,3438.728725091376,2432.040495777073,2478.2415612498935,3312.6616539973757,4071.0148702741326,3045.2652426631803,4559.295641865933,4498.624350990124,3514.569963051579,3559.1311830044574,4030.4890968570103,3709.419103732188,3790.4234116490115,3499.6271853657286,3021.8061843301657,3712.5647693552955,2140.8307502910893,3757.8667882494647,2682.4963157002258,4680.226456969448,4685.084524989127,4257.524393970717,3717.807154393847,2291.50089562484,1838.9985618485541,952.9345640890465,1043.006534359768,1115.860015240595,1603.6543253285865,1223.424346665397,2048.2355825582526,1052.427322466871,1316.1497373337822,1753.3493093771929,2035.0814947624199,2022.6205888711665,1821.3555129319145,1939.8078380878992,2127.8828123299945,1860.1855145822806,1994.8763968678975,2036.0166273984862,2100.6499326833723,7733.817989454824,9149.068355745916,9592.21507504327,8011.6097162443375,10587.807915075462,3457.6708200629855,7815.650799292118,711.311657048803,1488.4004919414542,1191.5574277782296,936.3828547806384,1272.5678073867175,1324.5124584263508,1697.848984360643,1403.4143604323112,1317.2616363761065,1158.1078221280377,1417.4970342647732,1161.8599315931272,436.6317085698617,3863.794053920673,3941.4912602015565,3775.300067920716,5007.445957477593,4197.885207991716,4047.2172221032197,7785.875274158509,4894.671593019437,3896.7481089891808,4558.759196696196,4028.9462790081698,4529.254225719338,5146.288578408299,4587.190474789293,5089.3896615187095,4793.453771214828,0.0,1689.019537229809,1567.0528852225527,1259.4203126895068,6452.92513974999,3060.4938771057077,1448.5627890203439,2889.0273873769906,3422.9563679110356,3496.1887143378844,3562.567066131706,568.9717989476043,572.8446241660768,3120.9063535621126,701.204392805293,592.9354618590661,914.2762459320275,998.1849241419698,1439.8876141666356,3424.570024961901,3598.110170864917,3501.975103388659,1559.473975027859,3169.4645066322187,2987.6872913925645,2945.332386206901,3013.2828868328875,1388.954752475822,1531.3755465999275,1496.5730699739727,1441.7822569991536,1522.226784674217,1590.920651693933,5800.134175687974,9045.61868790542,20055.327923311008,7214.080441916155,20017.02163479767
XAP,1202.4452824247203,1218.1436609896434,1190.7275610660706,353.3478259767201,2924.4327082349073,2670.0208098224657,1624.2924509331572,1227.4775933265996,1172.38487644134,5964.082439464937,4692.742714809773,3557.0232735355135,5553.822305325619,3070.4841876368014,2537.357415078805,1958.541322009314,4467.155113948873,2837.2545561855936,3066.8468009228586,2177.5205245142733,4815.566241642029,2122.4343353703357,3134.652578593386,3907.995084626434,2897.8741615086506,2586.396347362203,3868.0932788683244,4210.244845157083,3633.253807021153,1714.5933139990302,1549.8928646034417,1556.5495756958996,962.6871121743329,3319.795792017938,3069.4338272608416,3348.89286653744,3444.2199842395235,2437.5317549252204,2483.732820398041,3318.152913145523,4076.50612942228,3050.756501811328,4564.78690101408,4504.115610138271,3520.0612221997267,3564.622442152605,4035.980356005158,3714.9103628803355,3795.914670797159,3505.118444513876,3027.297443478313,3718.056028503443,2146.322009439237,3763.358047397612,2687.9875748483732,4685.717716117595,4690.575784137274,4263.015653118864,3723.2984135419947,2296.9921547729873,1844.4898209967014,958.4258232371938,1048.4977935079153,1121.3512743887422,1609.1455844767338,1228.9156058135443,2053.7268417064,1057.9185816150182,1321.6409964819295,1758.8405685253401,2040.5727539105671,2028.1118480193138,1826.8467720800618,1945.2990972360465,2133.374071478142,1865.6767737304278,2000.3676560160447,2041.5078865466335,2106.14119183152,7739.309248602971,9154.559614894062,9597.706334191416,8017.1009753924845,10593.299174223608,3463.162079211133,7821.142058440265,716.8029161969503,1493.8917510896015,1197.0486869263768,941.8741139287856,1278.0590665348648,1330.003717574498,1703.3402435087903,1408.9056195804585,1322.7528955242537,1163.599081276185,1422.9882934129205,1167.3511907412744,442.12296771800897,3869.2853130688204,3946.982519349704,3780.7913270688637,5012.93721662574,4203.376467139863,4052.708481251367,7791.366533306656,4900.162852167584,3902.2393681373283,4564.250455844343,4034.4375381563173,4534.745484867485,5151.779837556446,4592.68173393744,5094.880920666857,4798.945030362975,701.204392805293,1694.5107963779562,1572.5441443707,1264.911571837654,6458.416398898137,3065.985136253855,1454.0540481684911,2894.518646525138,3428.447627059183,3501.679973486032,3568.0583252798533,574.4630580957515,578.335883314224,3126.39761271026,0.0,598.4267210072134,919.7675050801747,1003.676183290117,1445.3788733147828,3430.0612841100483,3603.6014300130646,3507.4663625368066,1564.9652341760063,3174.955765780366,2993.178550540712,2950.8236453550485,3018.774145981035,1394.4460116239693,1536.8668057480747,1502.06432912212,1447.2735161473008,1527.7180438223643,1596.4119108420803,5805.625434836121,9051.109947053566,20060.819182459156,7219.571701064302,20022.51289394582
FLN,1212.5525466682304,604.8109256581807,577.0198955399433,363.4550902202302,2305.3606509161673,2050.948752503726,991.167663052909,594.3528054463512,1182.4921406848503,5350.7497041334755,4059.6179269295253,2923.8984856552647,4940.489569994157,2451.412130318062,2547.4646793223146,1328.0767773290152,3836.690569268575,2206.7900115052944,2436.3822562425603,1547.0559798339743,4185.101696961731,1491.9697906900367,2504.1880339130867,3277.5305399461354,2267.409616828352,1955.9318026819042,3237.628734188026,3579.7803004767843,3002.7892623408543,1091.8972690998783,936.1851990773143,942.8419101697723,245.88419597738252,2700.294846982771,2438.9692825805423,2718.428321857142,2813.7554395592247,1807.0672102449214,1853.268275717742,2687.6883684652244,3446.0415847419813,2420.2919571310294,3934.322356333782,3873.651065457973,2889.5966775194283,2934.157897472306,3405.515811324859,3084.4458182000367,3165.4501261168607,2874.6538998335773,2396.832898798015,3087.591483823144,1515.8574647589378,3132.8935027173134,2057.523030168074,4055.253171437297,4060.1112394569764,3632.5511084385657,3092.833868861696,1666.5276100926883,1127.6869047997511,682.1851418251439,331.69487731096507,404.54835819179186,1619.252848720244,1239.0228700570544,2063.83410594991,1068.0258458585283,1331.7482607254396,1042.0376523283899,1417.8767090114152,1405.4158031201619,1204.1507271809098,1322.6030523368945,1510.6780265789898,1242.9807288312759,1377.6716111168928,1418.8118416474815,1483.4451469323676,7106.184460722723,8522.89202193206,8969.811931587965,7383.976187512237,9961.485127245265,2843.6611341759663,7207.809323108803,0.0,777.0888348926512,480.24577072942645,778.9480937798206,561.2561503379145,613.2008013775478,986.5373273118402,692.1027033835084,605.9499793273034,446.7961650792347,706.1853772159702,450.54827454432416,452.23023196151905,3249.7843680336537,3313.8577314694553,3147.6665391886154,4379.812428745492,3570.251679259615,3419.583693371119,7178.033797975194,4267.038064287336,3269.11458025708,3931.1256679640956,3401.3127502760685,3901.620696987237,4518.655049676198,3959.5569460571924,4461.756132786609,4165.820242482726,711.311657048803,1080.8031308518287,958.8364788445725,651.5788365061915,5845.083663566676,2452.652400922392,840.7213128370287,2275.4465892063986,2808.946682024017,2882.179028450865,2948.5573802446866,584.5703223392617,588.4431475577342,2507.3255553915205,716.8029161969503,608.5339852507234,929.8747693236849,1013.7834475336272,812.2540854345344,2810.5603390748815,2984.100484977898,2887.96541750164,931.840446295758,2555.8837084616266,2374.1064932219724,2331.751588036309,2399.7020886622954,761.3212237437209,903.7420178678263,868.9395412418717,814.1487282670525,894.5932559421159,963.2871229618319,5172.500646955873,8417.985159173319,19427.694394578903,6586.446913184054,19389.388106065566
URG,1415.5171355514549,1431.215514116378,1403.7994141928052,566.4196791034547,3137.5045613616417,2883.0926629492,1837.3643040598918,1440.5494464533342,1385.4567295680745,6177.154292591672,4905.814567936508,3770.095126662248,5766.894158452354,3283.5560407635357,2750.4292682055393,2171.6131751360485,4680.226967075608,3050.326409312328,3279.918654049593,2390.5923776410077,5028.638094768764,2335.50618849707,3347.7244317201203,4121.0669377531685,3110.946014635385,2799.4682004889373,4081.165131995059,4423.3166982838175,3846.3256601478874,1927.6651671257648,1762.9647177301763,1769.6214288226342,1175.7589653010673,3532.867645144672,3282.505680387576,3561.9647196641745,3657.291837366258,2650.603608051955,2696.8046735247754,3531.2247662722575,4289.577982549014,3263.828354938062,4777.858754140815,4717.187463265006,3733.133075326461,3777.6942952793393,4249.052209131893,3927.98221600707,4008.9865239238934,3718.1902976406104,3240.3692966050476,3931.1278816301774,2359.393862565971,3976.4299005243465,2901.0594279751076,4898.78956924433,4903.647637264009,4476.087506245599,3936.370266668729,2510.0640078997217,2057.561674123436,1171.4976763639283,1261.5696466346499,1334.4231275154766,1822.2174376034684,1441.9874589402789,2266.7986948331345,1270.9904347417528,1534.712849608664,1971.9124216520747,2253.6446070373017,2241.1837011460484,2039.9186252067964,2158.370950362781,2346.4459246048764,2078.7486268571624,2213.4395091427796,2254.579739673368,2319.213044958254,7952.381101729706,9367.631468020798,9810.778187318152,8230.172828519218,10806.371027350342,3676.2339323378674,8034.213911567,929.8747693236849,1706.963604216336,1410.1205400531112,1154.9459670555202,1491.1309196615994,1543.0755707012327,1916.412096635525,1621.977472707193,1535.824748650988,1376.6709344029196,1636.060146539655,1380.423043868009,655.1948208447435,4082.357166195555,4160.054372476438,3993.863180195598,5226.009069752475,4416.448320266598,4265.7803343781015,8004.43838643339,5113.234705294319,4115.311221264063,4777.322308971078,4247.509391283052,4747.81733799422,5364.851690683181,4805.753587064175,5307.952773793591,5012.0168834897095,914.2762459320275,1907.5826495046908,1785.6159974974346,1477.9834249643886,6671.488252024872,3279.0569893805896,1667.1259012952257,3107.5904996518725,3641.5194801859175,3714.7518266127663,3781.1301784065877,787.5349112224861,791.4077364409586,3339.4694658369945,919.7675050801747,811.4985741339478,0.0,1216.7480364168516,1658.4507264415174,3643.1331372367827,3816.673283139799,3720.538215663541,1778.037087302741,3388.0276189071005,3206.2504036674463,3163.895498481783,3231.8459991077693,1607.517864750704,1749.9386588748093,1715.1361822488545,1660.3453692740354,1740.7898969490989,1809.4837639688149,6018.697287962856,9264.1818001803,20273.89103558589,7432.643554191037,20235.584747072553
