,AEP,GRU,CGH,POA,AJU,SSA,ARU,VCP,ASU,AUA,BEL,FOR,BOG,BPS,BRC,BSB,CNF,BVB,CGB,CKS,CLV,CZS,GYN,MAB,MAO,OPS,PMW,PVH,RBR,STM,BYO,CAC,GIG,SDU,REC,CWB,CXJ,FLN,GEL,JOI,NVT,PET,PFB,XAP,COR,EZE,MDZ,MVD,ROS,CGR,MOC,CPV,CUN,FEN,JDO,JJD,MCP,SLZ,THE,MCO,MIA,IZA,SJK,PUJ,VVI,IGU,IOS,JPA,LDB,MCZ,MGF,NAT,PNZ,PPB,RAO,SJP
AEP,0.0,1693.102741469409,1665.3122892559584,849.0974564480002,3399.3522495475327,3144.940351135091,2146.9278397051394,1750.1129820985816,1668.13450691262,6439.041519944703,5173.967624578394,4038.248183304133,6028.781385805385,3545.4037289494263,3033.107045550085,2537.525487484206,2189.258706740088,5046.139279423766,3416.2387216604857,3645.8309663977507,2756.5046899891654,5394.5504071169225,2701.4185008452278,3713.636744068278,4486.979250101326,3476.8583269835426,3165.380512837095,4447.0774443432165,4789.229010631975,4212.237972496046,2728.5845788191937,2427.992191004655,2024.4775927933294,2031.1343038857874,3794.716938387295,1996.4479888185192,2431.172345954273,2152.967367666492,2576.6790004861064,2025.8258372483083,2078.527241961859,2723.4499186715902,2429.7189566487355,2377.9081931585756,2104.8952149480137,1724.6652362848245,2549.47647217768,1553.6682120862984,1817.3906269532097,2578.198450339417,2515.2381466516254,3938.08322558049,8296.101138920032,4344.206459438177,4428.2074291183235,4262.016236837484,5494.162126394361,4684.601376908483,4533.9333910199875,8560.55172093643,8266.325613786423,2169.0955245678438,1739.8706523174196,6933.3754793779035,3540.9442167336206,2548.3131286370553,3369.4381878377635,3903.3687734285404,2160.160125528917,3976.601119855389,2241.6102865320977,4042.9794716492106,3601.317154022885,2203.8280150951873,1968.0142620867648,2087.6006229479885
POA,849.0974564480002,865.170765207588,837.3797350893506,0.0,2571.4196953809246,2317.0077969684835,1318.9952855385313,922.1804279319738,819.0370504646199,5611.109543682882,4346.035070411786,3210.3156291375253,5200.8494095435635,2717.4711747828187,2184.0095891020846,1709.5929333175986,1361.3261525734806,4218.206725257158,2588.3061674938776,2817.898412231143,1928.5721358225576,4566.617852950314,1873.48594667862,2885.70418990167,3659.0466959347186,2648.925772816935,2337.4479586704874,3619.144890176609,3961.2964564653676,3384.3054183294375,1900.6520246525859,1600.0596368380473,1196.5450386267216,1203.2017497191796,2966.784384220687,1168.5154346519112,1603.2397917876656,1325.0348134998842,1748.7464463194988,1197.8932830817002,1250.5946877952513,1895.5173645049822,1601.7864024821274,1549.975638991968,1255.7977585000137,875.5677798368242,1700.3790157296798,704.5707556382981,968.2931705052094,1750.265896172809,1687.3055924850175,3110.1506714138823,7468.169162658211,3516.2739052715697,3600.274874951716,3434.083682670876,4666.229572227752,3856.6688227418754,3706.0008368533795,7732.619744674608,7438.393637524601,1341.1629704012362,911.9386760555988,6105.443503116083,2713.0122404717995,1720.3805744704475,2541.5056336711555,3075.4362192619324,1332.2275713623094,3148.668565688781,1413.6777323654896,3215.0469174826026,2773.3845998562774,1375.8954609285797,1140.081707920157,1259.6680687813805
MVD,1553.6682120862984,1567.6524787726717,1540.0627598855538,704.5707556382981,3273.9415260179353,3019.529627605494,2021.6783103347348,1624.863452728177,1523.607806102918,6313.5912572479665,5048.718095207989,3912.9986539337287,5903.331123108648,3419.9930054198294,2888.5803447403828,2412.2759581138016,2064.009177369684,4920.889750053361,3290.9891922900806,3520.5814370273465,2631.255160618761,5269.3008777465175,2576.168971474823,3588.387214697873,4361.729720730922,3351.6087976131384,3040.130983466691,4321.827914972812,4663.979481261571,4086.9884431256405,2603.335049448789,2302.7426616342505,1899.2280634229248,1905.8847745153828,3669.304609800966,1871.1984594481146,2305.9228165838686,2027.7178382960874,2451.4294711157017,1900.5763078779037,1953.2777125914545,2598.200389301185,2304.469427278331,2252.658663788171,1960.3685141383119,1580.1385354751224,2404.949771367978,0.0,1672.8639261435076,2452.9489209690123,2389.9886172812207,3812.670896994161,8170.650876223293,4218.794130851848,4302.957899747919,4136.766707467079,5368.912597023956,4559.351847538079,4408.6838616495825,8435.101458239693,8140.875351089684,2043.8459951974392,1614.4203896206823,6807.925216681166,3415.493954036883,2423.0635992666507,3244.027464308166,3777.956444842211,2034.9105961585124,3851.18879126906,2116.360757161693,3917.5671430628813,3475.906430493288,2078.5784857247827,1842.7647327163602,1962.351093577584
CGH,1665.3122892559584,27.791030118237472,0.0,837.3797350893506,1734.039960291574,1479.6280618791327,481.6155504491809,84.80069284262325,1113.1772166326934,4773.729808593532,3508.6553353224353,2372.9358940481748,4363.469674454213,1880.0914396934681,2995.466015378898,872.213198228248,523.94641748413,3380.8269901678077,1750.926432404527,1980.5186771417925,1091.192400733207,3729.238117860964,1036.1062115892694,2048.3244548123193,2821.666960845368,1811.5460377275845,1500.0682235811369,2781.7651550872583,3123.916721376017,2546.925683240087,1063.2722895632353,762.6799017486967,359.1653035373711,365.822014629829,2129.4046491313366,331.1356995625607,765.8600566983149,487.6550784105337,911.3667112301481,360.5135479923498,413.2149527059007,1058.1376294156316,764.406667392777,712.5959039026174,1927.9505785535002,1694.0237406864564,2391.5139159816363,1540.0627598855538,1724.4166015263777,912.8861610834585,849.925857395667,2272.7709363245317,6630.7894275688595,2678.894170182219,2762.8951398623653,2596.7039475815254,3828.849837138402,3019.289087652525,2868.621101764029,6895.240009585258,6601.01390243525,503.7832353118855,74.55894096624817,5268.063768026732,1875.632505382449,883.000839381097,1704.125898581805,2238.056484172582,494.8478362729587,2311.2888305994306,576.2979972761392,2377.667182393252,1936.0048647669269,538.515725839229,302.7019728308064,422.28833369203005
ASU,1668.13450691262,1135.3020903538554,1113.1772166326934,819.0370504646199,2841.591137599119,2587.1792391866775,1594.7927670818744,1197.9779094753167,0.0,5881.24086882915,4617.554377422417,3481.8349361481564,5470.9807346898315,2987.642617001013,3003.0466395667045,1985.3904148609413,1631.7644468303404,4494.004206800501,2864.1036490372207,3093.6958937744857,2204.3696173659005,4842.415334493658,2149.283428221963,3161.501671445013,3934.8441774780613,2924.7232543602777,2613.24544021383,3894.9423717199516,4237.09393800871,3660.1028998727807,2176.4495061959287,1875.8571183813901,1472.1332281851123,1478.9992312625225,3236.9542213821496,1444.3129161952543,1879.0372733310082,1600.832295043227,2024.5439278628414,1473.6907646250434,1526.3921693385942,2171.3148460483253,1877.5838840254705,1825.7731205353107,2074.834808964634,1694.604830301444,2519.4160661942997,1523.607806102918,1787.3302209698295,2026.063377716152,1957.7438867418773,3380.320508575345,7738.300487804478,3786.443742433032,3871.794181962347,3705.602989681507,4937.748879238384,4128.188129752507,3977.5201438640106,8002.751069820876,7708.524962670868,1616.7511599596269,1182.070001201866,6375.57482826235,2983.143565618067,1996.1780560137904,2811.67707588935,3345.606056423395,1608.025052905652,3418.8384028502437,1689.4752139088328,3485.216754644065,3043.556042074472,1651.6929424719224,1415.8791894634999,1535.4655503247236
GRU,1693.102741469409,0.0,27.791030118237472,865.170765207588,1706.2890472452636,1451.8771488328223,479.64248850168246,82.82763089512477,1135.3020903538554,4745.938778475294,3482.2522870685616,2346.532845794301,4335.678644335976,1852.3405266471577,3023.2262127166623,854.5095861320173,496.46235647648496,3363.123378071577,1733.2228203082964,1962.8150650455618,1073.4887886369763,3711.5345057647332,1018.4025994930388,2030.6208427160886,2803.9633487491374,1793.8424256313538,1482.3646114849062,2764.0615429910276,3106.2131092797863,2529.2220711438563,1061.2992276157368,760.7068398011983,336.8311378312569,344.1111319603831,2101.652131028294,358.9267296807982,793.6510868165524,515.4461085287712,939.1577413483856,388.3045781105873,441.0059828241382,1085.928659533869,792.1976975110144,740.3869340208548,1954.25218906793,1721.8120602735924,2417.8278447858693,1567.6524787726717,1751.861116257418,910.9130991359601,822.4417963880219,2245.0184182214894,6602.998397450622,2651.1416520791768,2736.4920916084916,2570.3008993276517,3802.4467888845284,2992.886039398651,2842.218053510155,6867.448979467021,6573.222872317013,481.44906960577134,46.76791084801071,5240.2727379084945,1847.8414752642116,881.0277774335985,1676.3749855354945,2210.3039660695395,492.8747743254603,2283.5363124963883,574.3249353286407,2349.9146642902097,1908.2539517206164,536.5426638917306,300.72891088330795,420.3152717445315
EZE,1724.6652362848245,1721.8120602735924,1694.0237406864564,875.5677798368242,3428.0637009780303,3173.651802565589,2175.6392911356374,1778.8244335290797,1694.604830301444,6467.750838748887,5202.679076008892,4066.9596347346314,6057.490704609569,3574.115180379925,3059.577368938909,2566.2369389147043,2217.9701581705867,5074.850730854264,3444.9501730909833,3674.542417828249,2785.2161414196635,5423.26185854742,2730.129952275726,3742.3481954987756,4515.690701531825,3505.569778414041,3194.0919642675935,4475.788895773715,4817.940462062474,4240.949423926543,2757.2960302496917,2456.703642435153,2053.1890442238273,2059.8457553162852,3823.428389817793,2025.1594402490173,2459.8837973847712,2181.67881909699,2605.3904519166044,2054.5372886788064,2107.238693392357,2752.161370102088,2458.4304080792335,2406.6196445890737,2131.3655383368377,0.0,2575.946795566504,1580.1385354751224,1843.8609503420337,2606.909901769915,2543.9495980821234,3966.7946770109884,8324.810457724214,4372.917910868676,4456.918880548822,4290.727688267982,5522.873577824858,4713.3128283389815,4562.644842450485,8589.261039740613,8295.034932590605,2197.806975998342,1768.579971121603,6962.084798182087,3569.6535355378037,2577.0245800675534,3398.149639268261,3932.080224859038,2188.871576959415,4005.3125712858873,2270.3217379625958,4071.690923079708,3630.0286054533835,2232.5394665256854,1996.7257135172629,2116.3120743784866
SJK,1739.8706523174196,46.76791084801071,74.55894096624817,911.9386760555988,1753.0569580932743,1498.645059680833,526.4103993496932,129.59554174313547,1182.070001201866,4792.706689323305,3529.020197916572,2393.3007566423116,4382.446555183987,1899.1084374951683,3069.994123564673,901.277496980028,543.2302673244957,3409.8912889195876,1779.990731156307,2009.5829758935724,1120.256699484987,3758.302416612744,1065.1705103410495,2077.3887535640993,2850.731259597148,1840.6103364793644,1529.1325223329168,2810.8294538390383,3152.981020127797,2575.989981991867,1108.0671384637474,807.474750649209,383.59904867926764,390.8790428083938,2148.420041876305,405.6946405288089,840.4189976645631,562.214019376782,985.9256521963963,435.072488958598,487.7738936721489,1132.6965703818796,838.9656083590252,787.1548448688656,2001.0200999159406,1768.579971121603,2464.59575563388,1614.4203896206823,1798.6290271054286,957.6810099839709,869.2097072360326,2291.7863290695,6649.766308298633,2697.9095629271874,2783.260002456502,2617.0688101756623,3849.214699732539,3039.6539502466617,2888.985964358166,6914.216890315031,6619.9907831650235,528.2169804537821,0.0,5287.040648756505,1894.6093861122222,927.7956882816093,1723.142896383505,2257.07187691755,539.642685173471,2330.304223344399,621.0928461766514,2396.6825751382203,1955.021862568627,583.3105747397414,347.4968217313187,467.08318259254224
VCP,1750.1129820985816,82.82763089512477,84.80069284262325,922.1804279319738,1712.0620594632508,1457.6501610508094,396.81485760655767,0.0,1197.9779094753167,4828.766409370419,3465.265121483174,2329.5456802089134,4418.5062752311005,1858.1135388651448,3080.2667082215216,797.3884994305104,498.6514813839962,3306.00229137007,1676.1017336067896,1905.693978344055,1016.3677019354694,3654.4134190632262,961.2815127915319,1973.4997560145819,2746.8422620476304,1736.7213389298468,1425.2435247833994,2706.9404562895206,3049.0920225782793,2472.1009844423493,978.4715967206121,677.8792089060735,398.3154301604609,407.3870134063981,2106.7851806346257,415.93639240518394,850.6607495409381,572.455771253157,996.1674040727713,445.314240834973,498.01564554852393,1142.9383222582549,849.2073602354002,797.3965967452406,2012.7512713961235,1778.8244335290797,2476.3146088242597,1624.863452728177,1809.217294369001,828.0854682408353,824.6309212955332,2250.151467827821,6685.826028345747,2656.2747016855083,2719.504926023104,2553.313733742264,3785.4596232991407,2975.8988738132634,2825.2308879247676,6950.276610362145,6656.050503212137,542.9333619349753,129.59554174313547,5323.100368803619,1930.6691061593363,798.2001465384737,1682.1479977534818,2215.437015675871,410.0471434303355,2288.66936210272,491.4973044335159,2355.047713896541,1914.0269639386036,453.7150329966058,217.90127998818318,337.4876408494068
ROS,1817.3906269532097,1751.861116257418,1724.4166015263777,968.2931705052094,3458.1501635026816,3203.73826509024,2206.0321519755585,1809.217294369001,1787.3302209698295,6497.799894732712,5233.0719368488135,4097.352495574552,6087.539760593394,3604.2016429045757,3152.3027596072943,2596.6297997546258,2248.323472733903,5105.243591694185,3475.3430339309048,3704.93527866817,2815.6090022595845,5453.654719387341,2760.5228131156473,3772.741056338697,4546.083562371746,3535.962639253962,3224.4848251075146,4506.181756613636,4848.333322902395,4271.342284766464,2787.688891089613,2487.0965032750746,2083.5819050637488,2090.2386161562067,3853.513247285712,2055.5523010889383,2490.2766582246927,2212.0716799369116,2635.783312756526,2084.9301495187274,2137.631554232278,2782.5542309420093,2488.8232689191545,2437.012505428995,2224.090929005223,1843.8609503420337,2668.6721862348895,1672.8639261435076,0.0,2637.3027626098365,2574.30291264544,3996.8795344789073,8354.859513708041,4403.002768336595,4487.311741388743,4321.120549107904,5553.266438664779,4743.7056891789025,4593.037703290407,8619.310095724439,8325.083988574432,2228.1998368382633,1798.6290271054286,6992.133854165912,3599.7025915216295,2607.417440907475,3428.2361017929125,3962.1650823269574,2219.2644377993365,4035.3974287538063,2300.714598802517,4101.775780547628,3660.1150679780344,2262.932327365607,2027.1185743571841,2146.7049352184076
