origem,destino,tipo,distancia,escalas,caminho_str,origem_pais,destino_pais
PDP,AEP,Azul→Gol,1499.4258137613972,1,PDP → POA → AEP,UY,AR
AEP,PDP,Gol→Azul,1499.4258137613972,1,AEP → POA → PDP,AR,UY
PDP,EZE,Azul→Gol,1525.8961371502212,1,PDP → POA → EZE,UY,AR
EZE,PDP,Gol→Azul,1525.8961371502212,1,EZE → POA → PDP,AR,UY
PDP,ROS,Azul→Gol,1618.6215278186064,1,PDP → POA → ROS,UY,AR
ROS,PDP,Gol→Azul,1618.6215278186064,1,ROS → POA → PDP,AR,UY
AQA,AEP,Azul→Gol,1890.1956420952492,2,AQA → VCP → POA → AEP,BR,AR
AEP,AQA,Gol→Azul,1890.1956420952492,2,AEP → POA → VCP → AQA,AR,BR
PDP,COR,Azul→Gol,1906.1261158134107,1,PDP → POA → COR,UY,AR
COR,PDP,Gol→Azul,1906.1261158134107,1,COR → POA → PDP,AR,UY
AQA,EZE,Azul→Gol,1916.6659654840732,2,AQA → VCP → POA → EZE,BR,AR
EZE,AQA,Gol→Azul,1916.6659654840732,2,EZE → POA → VCP → AQA,AR,BR
AEP,UMU,Gol→Azul,1918.7379238842004,3,AEP → POA → FLN → CWB → UMU,AR,BR
UMU,AEP,Azul→Gol,1918.7379238842009,3,UMU → CWB → FLN → POA → AEP,BR,AR
JTC,AEP,Azul→Gol,1943.023146618581,2,JTC → VCP → POA → AEP,BR,AR
AEP,JTC,Gol→Azul,1943.023146618581,2,AEP → POA → VCP → JTC,AR,BR
EZE,UMU,Gol→Azul,1945.2082472730244,3,EZE → POA → FLN → CWB → UMU,AR,BR
UMU,EZE,Azul→Gol,1945.2082472730249,3,UMU → CWB → FLN → POA → EZE,BR,AR
JTC,EZE,Azul→Gol,1969.493470007405,2,JTC → VCP → POA → EZE,BR,AR
EZE,JTC,Gol→Azul,1969.493470007405,2,EZE → POA → VCP → JTC,AR,BR
AQA,ROS,Azul→Gol,1976.1857126663704,2,AQA → VCP → CGH → ROS,BR,AR
ROS,AQA,Gol→Azul,1976.1857126663704,2,ROS → CGH → VCP → AQA,AR,BR
FRC,AEP,Azul→Gol,1997.8139595934,2,FRC → VCP → POA → AEP,BR,AR
AEP,FRC,Gol→Azul,1997.8139595934,2,AEP → POA → VCP → FRC,AR,BR
MII,AEP,Azul→Gol,2023.4676742936444,2,MII → VCP → POA → AEP,BR,AR
AEP,MII,Gol→Azul,2023.4676742936444,2,AEP → POA → VCP → MII,AR,BR
FRC,EZE,Azul→Gol,2024.284282982224,2,FRC → VCP → POA → EZE,BR,AR
EZE,FRC,Gol→Azul,2024.284282982224,2,EZE → POA → VCP → FRC,AR,BR
JTC,ROS,Azul→Gol,2029.013217189702,2,JTC → VCP → CGH → ROS,BR,AR
ROS,JTC,Gol→Azul,2029.013217189702,2,ROS → CGH → VCP → JTC,AR,BR
UMU,ROS,Azul→Gol,2037.9336379414096,3,UMU → CWB → FLN → POA → ROS,BR,AR
ROS,UMU,Gol→Azul,2037.9336379414096,3,ROS → POA → FLN → CWB → UMU,AR,BR
MII,EZE,Azul→Gol,2049.9379976824684,2,MII → VCP → POA → EZE,BR,AR
EZE,MII,Gol→Azul,2049.9379976824684,2,EZE → POA → VCP → MII,AR,BR
FRC,ROS,Azul→Gol,2083.804030164521,2,FRC → VCP → CGH → ROS,BR,AR
ROS,FRC,Gol→Azul,2083.804030164521,2,ROS → CGH → VCP → FRC,AR,BR
AQA,VVI,Azul→Gol,2097.637524456706,2,AQA → VCP → GRU → VVI,BR,BO
VVI,AQA,Gol→Azul,2097.637524456706,2,VVI → GRU → VCP → AQA,BO,BR
MII,ROS,Azul→Gol,2109.4577448647656,2,MII → VCP → CGH → ROS,BR,AR
ROS,MII,Gol→Azul,2109.4577448647656,2,ROS → CGH → VCP → MII,AR,BR
JTC,VVI,Azul→Gol,2150.465028980037,2,JTC → VCP → GRU → VVI,BR,BO
VVI,JTC,Gol→Azul,2150.465028980037,2,VVI → GRU → VCP → JTC,BO,BR
COR,AQA,Gol→Azul,2179.719689693493,2,COR → CGH → VCP → AQA,AR,BR
AQA,COR,Azul→Gol,2179.7196896934934,2,AQA → VCP → CGH → COR,BR,AR
FRC,VVI,Azul→Gol,2205.255841954857,2,FRC → VCP → GRU → VVI,BR,BO
VVI,FRC,Gol→Azul,2205.255841954857,2,VVI → GRU → VCP → FRC,BO,BR
MII,VVI,Azul→Gol,2230.909556655101,2,MII → VCP → GRU → VVI,BR,BO
VVI,MII,Gol→Azul,2230.909556655101,2,VVI → GRU → VCP → MII,BO,BR
JTC,COR,Azul→Gol,2232.5471942168247,2,JTC → VCP → CGH → COR,BR,AR
COR,JTC,Gol→Azul,2232.5471942168247,2,COR → CGH → VCP → JTC,AR,BR
FRC,COR,Azul→Gol,2287.338007191644,2,FRC → VCP → CGH → COR,BR,AR
COR,FRC,Gol→Azul,2287.338007191644,2,COR → CGH → VCP → FRC,AR,BR
DIQ,AEP,Azul→Gol,2301.51216482112,2,DIQ → CNF → CGH → AEP,BR,AR
