origin,destination,origin_city,dest_city,path,path_length,stops,total_distance,direct_distance,efficiency,airlines,segments
FEN,MCZ,Fernando de Noronha Airport,Zumbi dos Palmares Airport,FEN → REC → MCZ,3,1,730.65,730.61,1.0,"G3, AD","[{'from': 'FEN', 'to': 'REC', 'airline': 'G3', 'distance': 549.56}, {'from': 'REC', 'to': 'MCZ', 'airline': 'AD', 'distance': 181.09}]"
MCZ,FEN,Zumbi dos Palmares Airport,Fernando de Noronha Airport,MCZ → REC → FEN,3,1,730.65,730.61,1.0,"G3, AD","[{'from': 'MCZ', 'to': 'REC', 'airline': 'AD', 'distance': 181.09}, {'from': 'REC', 'to': 'FEN', 'airline': 'G3', 'distance': 549.56}]"
GIG,LDB,Rio Gale�o � Tom Jobim International Airport,Governador Jos� Richa Airport,GIG → VCP → LDB,3,1,808.45,808.08,1.0,"G3, AD","[{'from': 'GIG', 'to': 'VCP', 'airline': 'G3', 'distance': 398.4}, {'from': 'VCP', 'to': 'LDB', 'airline': 'AD', 'distance': 410.05}]"
LDB,GIG,Governador Jos� Richa Airport,Rio Gale�o � Tom Jobim International Airport,LDB → VCP → GIG,3,1,808.45,808.08,1.0,"G3, AD","[{'from': 'LDB', 'to': 'VCP', 'airline': 'AD', 'distance': 410.05}, {'from': 'VCP', 'to': 'GIG', 'airline': 'G3', 'distance': 398.4}]"
CWB,MEA,Afonso Pena Airport,Maca� Airport,CWB → SDU → MEA,3,1,832.2,832.0,1.0,"G3, AD","[{'from': 'CWB', 'to': 'SDU', 'airline': 'G3', 'distance': 675.54}, {'from': 'SDU', 'to': 'MEA', 'airline': 'AD', 'distance': 156.66}]"
MEA,CWB,Maca� Airport,Afonso Pena Airport,MEA → SDU → CWB,3,1,832.2,832.0,1.0,"G3, AD","[{'from': 'MEA', 'to': 'SDU', 'airline': 'AD', 'distance': 156.66}, {'from': 'SDU', 'to': 'CWB', 'airline': 'G3', 'distance': 675.54}]"
PLU,JOI,Pampulha - Carlos Drummond de Andrade Airport,Lauro Carneiro de Loyola Airport,PLU → GRU → JOI,3,1,865.03,864.75,1.0,"G3, AD","[{'from': 'PLU', 'to': 'GRU', 'airline': 'AD', 'distance': 476.22}, {'from': 'GRU', 'to': 'JOI', 'airline': 'G3', 'distance': 388.81}]"
JOI,PLU,Lauro Carneiro de Loyola Airport,Pampulha - Carlos Drummond de Andrade Airport,JOI → GRU → PLU,3,1,865.03,864.75,1.0,"G3, AD","[{'from': 'JOI', 'to': 'GRU', 'airline': 'G3', 'distance': 388.81}, {'from': 'GRU', 'to': 'PLU', 'airline': 'AD', 'distance': 476.22}]"
CGH,PET,Congonhas Airport,Jo�o Sim�es Lopes Neto International Airport,CGH → POA → PET,3,1,1058.95,1058.58,1.0,"G3, AD","[{'from': 'CGH', 'to': 'POA', 'airline': 'G3', 'distance': 837.75}, {'from': 'POA', 'to': 'PET', 'airline': 'AD', 'distance': 221.2}]"
GRU,PET,Guarulhos - Governador Andr� Franco Montoro International Airport,Jo�o Sim�es Lopes Neto International Airport,GRU → POA → PET,3,1,1086.78,1086.33,1.0,"G3, AD","[{'from': 'GRU', 'to': 'POA', 'airline': 'G3', 'distance': 865.58}, {'from': 'POA', 'to': 'PET', 'airline': 'AD', 'distance': 221.2}]"
PET,GRU,Jo�o Sim�es Lopes Neto International Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,PET → POA → GRU,3,1,1086.78,1086.33,1.0,"G3, AD","[{'from': 'PET', 'to': 'POA', 'airline': 'AD', 'distance': 221.2}, {'from': 'POA', 'to': 'GRU', 'airline': 'G3', 'distance': 865.58}]"
TFF,STM,Tef� Airport,Maestro Wilson Fonseca Airport,TFF → MAO → STM,3,1,1108.98,1108.78,1.0,"G3, AD","[{'from': 'TFF', 'to': 'MAO', 'airline': 'AD', 'distance': 520.36}, {'from': 'MAO', 'to': 'STM', 'airline': 'G3', 'distance': 588.62}]"
STM,TFF,Maestro Wilson Fonseca Airport,Tef� Airport,STM → MAO → TFF,3,1,1108.98,1108.78,1.0,"G3, AD","[{'from': 'STM', 'to': 'MAO', 'airline': 'G3', 'distance': 588.62}, {'from': 'MAO', 'to': 'TFF', 'airline': 'AD', 'distance': 520.36}]"
MVD,NVT,Carrasco International /General C L Berisso Airport,Ministro Victor Konder International Airport,MVD → POA → NVT,3,1,1130.58,1130.24,1.0,"G3, AD","[{'from': 'MVD', 'to': 'POA', 'airline': 'G3', 'distance': 705.6}, {'from': 'POA', 'to': 'NVT', 'airline': 'AD', 'distance': 424.98}]"
CGH,VDC,Congonhas Airport,Vit�ria da Conquista Airport,CGH → CNF → VDC,3,1,1148.25,1148.21,1.0,"G3, AD","[{'from': 'CGH', 'to': 'CNF', 'airline': 'G3', 'distance': 524.35}, {'from': 'CNF', 'to': 'VDC', 'airline': 'AD', 'distance': 623.9}]"
CMG,CGH,Corumb� International Airport,Congonhas Airport,CMG → CGR → CGH,3,1,1250.63,1250.43,1.0,"G3, AD","[{'from': 'CMG', 'to': 'CGR', 'airline': 'AD', 'distance': 353.19}, {'from': 'CGR', 'to': 'CGH', 'airline': 'G3', 'distance': 897.44}]"
CGH,CMG,Congonhas Airport,Corumb� International Airport,CGH → CGR → CMG,3,1,1250.63,1250.43,1.0,"G3, AD","[{'from': 'CGH', 'to': 'CGR', 'airline': 'G3', 'distance': 897.44}, {'from': 'CGR', 'to': 'CMG', 'airline': 'AD', 'distance': 353.19}]"
CMG,GRU,Corumb� International Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,CMG → CGR → GRU,3,1,1260.67,1260.05,1.0,"G3, AD","[{'from': 'CMG', 'to': 'CGR', 'airline': 'AD', 'distance': 353.19}, {'from': 'CGR', 'to': 'GRU', 'airline': 'G3', 'distance': 907.48}]"
GRU,CMG,Guarulhos - Governador Andr� Franco Montoro International Airport,Corumb� International Airport,GRU → CGR → CMG,3,1,1260.67,1260.05,1.0,"G3, AD","[{'from': 'GRU', 'to': 'CGR', 'airline': 'G3', 'distance': 907.48}, {'from': 'CGR', 'to': 'CMG', 'airline': 'AD', 'distance': 353.19}]"
PLU,CXJ,Pampulha - Carlos Drummond de Andrade Airport,Hugo Cantergiani Regional Airport,PLU → GRU → CXJ,3,1,1270.51,1270.39,1.0,"G3, AD","[{'from': 'PLU', 'to': 'GRU', 'airline': 'AD', 'distance': 476.22}, {'from': 'GRU', 'to': 'CXJ', 'airline': 'G3', 'distance': 794.29}]"
CXJ,PLU,Hugo Cantergiani Regional Airport,Pampulha - Carlos Drummond de Andrade Airport,CXJ → GRU → PLU,3,1,1270.51,1270.39,1.0,"G3, AD","[{'from': 'CXJ', 'to': 'GRU', 'airline': 'G3', 'distance': 794.29}, {'from': 'GRU', 'to': 'PLU', 'airline': 'AD', 'distance': 476.22}]"
CNF,PFB,Tancredo Neves International Airport,Lauro Kurtz Airport,CNF → VCP → PFB,3,1,1279.59,1279.55,1.0,"G3, AD","[{'from': 'CNF', 'to': 'VCP', 'airline': 'G3', 'distance': 498.78}, {'from': 'VCP', 'to': 'PFB', 'airline': 'AD', 'distance': 780.81}]"
PFB,CNF,Lauro Kurtz Airport,Tancredo Neves International Airport,PFB → VCP → CNF,3,1,1279.59,1279.55,1.0,"G3, AD","[{'from': 'PFB', 'to': 'VCP', 'airline': 'AD', 'distance': 780.81}, {'from': 'VCP', 'to': 'CNF', 'airline': 'G3', 'distance': 498.78}]"
CNF,CXJ,Tancredo Neves International Airport,Hugo Cantergiani Regional Airport,CNF → CGH → CXJ,3,1,1290.55,1290.22,1.0,"G3, AD","[{'from': 'CNF', 'to': 'CGH', 'airline': 'AD', 'distance': 524.35}, {'from': 'CGH', 'to': 'CXJ', 'airline': 'G3', 'distance': 766.2}]"
MOC,FLN,M�rio Ribeiro Airport,Herc�lio Luz International Airport,MOC → GRU → FLN,3,1,1312.81,1312.46,1.0,"G3, AD","[{'from': 'MOC', 'to': 'GRU', 'airline': 'G3', 'distance': 797.82}, {'from': 'GRU', 'to': 'FLN', 'airline': 'AD', 'distance': 514.99}]"
PLU,POA,Pampulha - Carlos Drummond de Andrade Airport,Salgado Filho Airport,PLU → GRU → POA,3,1,1341.8,1341.6,1.0,"G3, AD","[{'from': 'PLU', 'to': 'GRU', 'airline': 'AD', 'distance': 476.22}, {'from': 'GRU', 'to': 'POA', 'airline': 'G3', 'distance': 865.58}]"
POA,PLU,Salgado Filho Airport,Pampulha - Carlos Drummond de Andrade Airport,POA → GRU → PLU,3,1,1341.8,1341.6,1.0,"G3, AD","[{'from': 'POA', 'to': 'GRU', 'airline': 'G3', 'distance': 865.58}, {'from': 'GRU', 'to': 'PLU', 'airline': 'AD', 'distance': 476.22}]"
VCP,VAL,Viracopos International Airport,Valen�a Airport,VCP → CNF → VAL,3,1,1380.08,1379.72,1.0,"G3, AD","[{'from': 'VCP', 'to': 'CNF', 'airline': 'G3', 'distance': 498.78}, {'from': 'CNF', 'to': 'VAL', 'airline': 'AD', 'distance': 881.3}]"
IPN,PFB,Usiminas Airport,Lauro Kurtz Airport,IPN → GRU → PFB,3,1,1396.51,1396.18,1.0,"G3, AD","[{'from': 'IPN', 'to': 'GRU', 'airline': 'AD', 'distance': 603.64}, {'from': 'GRU', 'to': 'PFB', 'airline': 'G3', 'distance': 792.87}]"
PFB,IPN,Lauro Kurtz Airport,Usiminas Airport,PFB → GRU → IPN,3,1,1396.51,1396.18,1.0,"G3, AD","[{'from': 'PFB', 'to': 'GRU', 'airline': 'G3', 'distance': 792.87}, {'from': 'GRU', 'to': 'IPN', 'airline': 'AD', 'distance': 603.64}]"
CWB,BPS,Afonso Pena Airport,Porto Seguro Airport,CWB → GRU → BPS,3,1,1455.12,1454.77,1.0,"G3, AD","[{'from': 'CWB', 'to': 'GRU', 'airline': 'G3', 'distance': 359.1}, {'from': 'GRU', 'to': 'BPS', 'airline': 'AD', 'distance': 1096.02}]"
IMP,UDI,Prefeito Renato Moreira Airport,Ten. Cel. Aviador C�sar Bombonato Airport,IMP → BSB → UDI,3,1,1487.36,1487.03,1.0,"G3, AD","[{'from': 'IMP', 'to': 'BSB', 'airline': 'G3', 'distance': 1150.62}, {'from': 'BSB', 'to': 'UDI', 'airline': 'AD', 'distance': 336.74}]"
UDI,IMP,Ten. Cel. Aviador C�sar Bombonato Airport,Prefeito Renato Moreira Airport,UDI → BSB → IMP,3,1,1487.36,1487.03,1.0,"G3, AD","[{'from': 'UDI', 'to': 'BSB', 'airline': 'AD', 'distance': 336.74}, {'from': 'BSB', 'to': 'IMP', 'airline': 'G3', 'distance': 1150.62}]"
CGH,PDP,Congonhas Airport,Capitan Corbeta CA Curbelo International Airport,CGH → POA → PDP,3,1,1491.59,1491.58,1.0,"G3, AD","[{'from': 'CGH', 'to': 'POA', 'airline': 'G3', 'distance': 837.75}, {'from': 'POA', 'to': 'PDP', 'airline': 'AD', 'distance': 653.84}]"
BPS,PGZ,Porto Seguro Airport,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,BPS → VCP → PGZ,3,1,1504.63,1504.62,1.0,"G3, AD","[{'from': 'BPS', 'to': 'VCP', 'airline': 'G3', 'distance': 1114.86}, {'from': 'VCP', 'to': 'PGZ', 'airline': 'AD', 'distance': 389.77}]"
JOI,VDC,Lauro Carneiro de Loyola Airport,Vit�ria da Conquista Airport,JOI → CGH → CNF → VDC,4,2,1508.91,1508.41,1.0,"G3, AD","[{'from': 'JOI', 'to': 'CGH', 'airline': 'G3', 'distance': 360.66}, {'from': 'CGH', 'to': 'CNF', 'airline': 'G3', 'distance': 524.35}, {'from': 'CNF', 'to': 'VDC', 'airline': 'AD', 'distance': 623.9}]"
VDC,JOI,Vit�ria da Conquista Airport,Lauro Carneiro de Loyola Airport,VDC → CNF → CGH → JOI,4,2,1508.91,1508.41,1.0,"G3, AD","[{'from': 'VDC', 'to': 'CNF', 'airline': 'AD', 'distance': 623.9}, {'from': 'CNF', 'to': 'CGH', 'airline': 'AD', 'distance': 524.35}, {'from': 'CGH', 'to': 'JOI', 'airline': 'G3', 'distance': 360.66}]"
GRU,PDP,Guarulhos - Governador Andr� Franco Montoro International Airport,Capitan Corbeta CA Curbelo International Airport,GRU → POA → PDP,3,1,1519.42,1519.4,1.0,"G3, AD","[{'from': 'GRU', 'to': 'POA', 'airline': 'G3', 'distance': 865.58}, {'from': 'POA', 'to': 'PDP', 'airline': 'AD', 'distance': 653.84}]"
BSB,PHB,Presidente Juscelino Kubistschek International Airport,Prefeito Doutor Jo�o Silva Filho Airport,BSB → THE → PHB,3,1,1594.07,1593.9,1.0,"G3, AD","[{'from': 'BSB', 'to': 'THE', 'airline': 'G3', 'distance': 1324.49}, {'from': 'THE', 'to': 'PHB', 'airline': 'AD', 'distance': 269.58}]"
PHB,BSB,Prefeito Doutor Jo�o Silva Filho Airport,Presidente Juscelino Kubistschek International Airport,PHB → THE → BSB,3,1,1594.07,1593.9,1.0,"G3, AD","[{'from': 'PHB', 'to': 'THE', 'airline': 'AD', 'distance': 269.58}, {'from': 'THE', 'to': 'BSB', 'airline': 'G3', 'distance': 1324.49}]"
IOS,JOI,Bahia - Jorge Amado Airport,Lauro Carneiro de Loyola Airport,IOS → GRU → JOI,3,1,1624.88,1624.21,1.0,"G3, AD","[{'from': 'IOS', 'to': 'GRU', 'airline': 'AD', 'distance': 1236.07}, {'from': 'GRU', 'to': 'JOI', 'airline': 'G3', 'distance': 388.81}]"
JOI,IOS,Lauro Carneiro de Loyola Airport,Bahia - Jorge Amado Airport,JOI → GRU → IOS,3,1,1624.88,1624.21,1.0,"G3, AD","[{'from': 'JOI', 'to': 'GRU', 'airline': 'G3', 'distance': 388.81}, {'from': 'GRU', 'to': 'IOS', 'airline': 'AD', 'distance': 1236.07}]"
TBT,STM,Tabatinga Airport,Maestro Wilson Fonseca Airport,TBT → MAO → STM,3,1,1693.97,1693.93,1.0,"G3, AD","[{'from': 'TBT', 'to': 'MAO', 'airline': 'AD', 'distance': 1105.35}, {'from': 'MAO', 'to': 'STM', 'airline': 'G3', 'distance': 588.62}]"
STM,TBT,Maestro Wilson Fonseca Airport,Tabatinga Airport,STM → MAO → TBT,3,1,1693.97,1693.93,1.0,"G3, AD","[{'from': 'STM', 'to': 'MAO', 'airline': 'G3', 'distance': 588.62}, {'from': 'MAO', 'to': 'TBT', 'airline': 'AD', 'distance': 1105.35}]"
