Label,ID,Latitude,Longitude,Operator
Humberto Delgado Airport (Lisbon Portela Airport),LIS,38.7813,-9.13592,Azul
Punta Cana International Airport,PUJ,18.56739998,-68.36340332,Gol
Las Am�ricas International Airport,SDQ,18.42970085,-69.66889954,Gol
Canc�n International Airport,CUN,21.03650093,-86.87709808,Gol
Islas Malvinas Airport,ROS,-32.9036,-60.785,Both
Jorge Newbery Airpark,AEP,-34.5592,-58.4156,Gol
Ingeniero Ambrosio Taravella Airport,COR,-31.323601,-64.208,Both
El Plumerillo Airport,MDZ,-32.83169937,-68.79290009,Gol
Araraquara Airport,AQA,-21.81200027,-48.13299942,Azul
Santa Maria Airport,AJU,-10.98400021,-37.07030106,Both
Piloto Osvaldo Marques Dias Airport,AFL,-9.866389275,-56.10499954,Azul
Ara�atuba Airport,ARU,-21.1413002,-50.42470169,Azul
Val de Cans/J�lio Cezar Ribeiro International Airport,BEL,-1.37925005,-48.47629929,Both
Pampulha - Carlos Drummond de Andrade Airport,PLU,-19.8512001,-43.95059967,Azul
Presidente Juscelino Kubistschek International Airport,BSB,-15.86916733,-47.92083359,Both
Atlas Brasil Cantanhede Airport,BVB,2.841388941,-60.6922226,Both
Barra do Gar�as Airport,BPG,-15.86130047,-52.38890076,Azul
Cascavel Airport,CAC,-25.00029945,-53.50080109,Both
Tancredo Neves International Airport,CNF,-19.62444305,-43.9719429,Both
Campo Grande Airport,CGR,-20.46870041,-54.67250061,Both
Serafin Enoss Bertaso Airport,XAP,-27.13419914,-52.65660095,Both
Diom�cio Freitas Airport,CCM,-28.72444344,-49.42139053,Azul
Bartolomeu Lisandro Airport,CAW,-21.69829941,-41.30170059,Azul
Corumb� International Airport,CMG,-19.01194382,-57.67139053,Azul
Afonso Pena Airport,CWB,-25.5284996,-49.17580032,Both
Hugo Cantergiani Regional Airport,CXJ,-29.19709969,-51.1875,Both
Marechal Rondon Airport,CGB,-15.65289974,-56.11669922,Both
Cruzeiro do Sul Airport,CZS,-7.599909782,-72.76950073,Gol
Presidente Prudente Airport,PPB,-22.17510033,-51.42459869,Both
Eduardo Gomes International Airport,MAO,-3.038609982,-60.04970169,Both
Cataratas International Airport,IGU,-25.60027885,-54.48500061,Both
Herc�lio Luz International Airport,FLN,-27.67027855,-48.55250168,Both
Fernando de Noronha Airport,FEN,-3.85493,-32.423302,Both
Pinto Martins International Airport,FOR,-3.776279926,-38.5326004,Both
Rio Gale�o � Tom Jobim International Airport,GIG,-22.80999947,-43.25055695,Both
Santa Genoveva Airport,GYN,-16.63199997,-49.22069931,Both
Guarulhos - Governador Andr� Franco Montoro International Airport,GRU,-23.43555641,-46.47305679,Both
Altamira Airport,ATM,-3.253910065,-52.25400162,Azul
Itaituba Airport,ITB,-4.242340088,-56.0007019,Azul
Bahia - Jorge Amado Airport,IOS,-14.81599998,-39.03319931,Both
Usiminas Airport,IPN,-19.47069931,-42.48759842,Azul
Prefeito Renato Moreira Airport,IMP,-5.53129,-47.459999,Both
Presidente Castro Pinto International Airport,JPA,-7.145833015,-34.94861221,Both
Lauro Carneiro de Loyola Airport,JOI,-26.22450066,-48.79740143,Both
Presidente Jo�o Suassuna Airport,CPV,-7.26992,-35.8964,Both
Viracopos International Airport,VCP,-23.00740051,-47.1344986,Both
Lages Airport,LAJ,-27.78210068,-50.28150177,Azul
Governador Jos� Richa Airport,LDB,-23.33359909,-51.13010025,Both
Jo�o Correa da Rocha Airport,MAB,-5.368589878,-49.13800049,Both
Regional de Maring� - S�lvio Nane Junior Airport,MGF,-23.4794445,-52.01222229,Both
M�rio Ribeiro Airport,MOC,-16.70689964,-43.81890106,Both
Zumbi dos Palmares Airport,MCZ,-9.510809898,-35.79169846,Both
Alberto Alcolumbre Airport,MCP,0.050664,-51.07220078,Both
Dix-Sept Rosado Airport,MVF,-5.201920032,-37.36429977,Azul
Ministro Victor Konder International Airport,NVT,-26.879999,-48.651402,Both
Santo �ngelo Airport,GEL,-28.2817,-54.169102,Azul
Governador Alu�zio Alves International Airport,NAT,-5.768056,-35.376111,Both
Salgado Filho Airport,POA,-29.99440002,-51.17139816,Both
Prefeito Doutor Jo�o Silva Filho Airport,PHB,-2.893749952,-41.73199844,Azul
Lauro Kurtz Airport,PFB,-28.243999,-52.326599,Both
Jo�o Sim�es Lopes Neto International Airport,PET,-31.718399,-52.327702,Azul
